,popularity,name,url
0,1,Ciudad de México,https://www.tripadvisor.com.mx/Restaurants-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast.html
1,2,Guadalajara,https://www.tripadvisor.com.mx/Restaurants-g150798-Guadalajara_Guadalajara_Metropolitan_Area.html
2,3,Playa del Carmen,https://www.tripadvisor.com.mx/Restaurants-g150812-Playa_del_Carmen_Yucatan_Peninsula.html
3,4,Cancún,https://www.tripadvisor.com.mx/Restaurants-g150807-Cancun_Yucatan_Peninsula.html
4,5,Monterrey,https://www.tripadvisor.com.mx/Restaurants-g150782-Monterrey_Northern_Mexico.html
5,6,Puerto Vallarta,https://www.tripadvisor.com.mx/Restaurants-g150793-Puerto_Vallarta.html
6,7,Santiago de Querétaro,https://www.tripadvisor.com.mx/Restaurants-g479232-Queretaro_City_Central_Mexico_and_Gulf_Coast.html
7,8,Mérida,https://www.tripadvisor.com.mx/Restaurants-g150811-Merida_Yucatan_Peninsula.html
8,9,Puebla,https://www.tripadvisor.com.mx/Restaurants-g152773-Puebla_Central_Mexico_and_Gulf_Coast.html
9,10,Zapopan,https://www.tripadvisor.com.mx/Restaurants-g1006488-Zapopan_Guadalajara_Metropolitan_Area.html
10,11,Tijuana,https://www.tripadvisor.com.mx/Restaurants-g150776-Tijuana_Baja_California.html
11,12,Tulum,https://www.tripadvisor.com.mx/Restaurants-g150813-Tulum_Yucatan_Peninsula.html
12,13,Oaxaca,https://www.tripadvisor.com.mx/Restaurants-g150801-Oaxaca_Southern_Mexico.html
13,14,Cabo San Lucas,https://www.tripadvisor.com.mx/Restaurants-g152515-Cabo_San_Lucas_Los_Cabos_Baja_California.html
14,15,San Luis Potosí,https://www.tripadvisor.com.mx/Restaurants-g153477-San_Luis_Potosi_Central_Mexico_and_Gulf_Coast.html
15,16,León,https://www.tripadvisor.com.mx/Restaurants-g154240-Leon_Central_Mexico_and_Gulf_Coast.html
16,17,San Miguel de Allende,https://www.tripadvisor.com.mx/Restaurants-g151932-San_Miguel_de_Allende_Central_Mexico_and_Gulf_Coast.html
17,18,Municipio de Ensenada,https://www.tripadvisor.com.mx/Restaurants-g10767851-Ensenada_Municipality_Baja_California.html
18,19,Mazatlán,https://www.tripadvisor.com.mx/Restaurants-g150792-Mazatlan_Pacific_Coast.html
19,20,Morelia,https://www.tripadvisor.com.mx/Restaurants-g152771-Morelia_Central_Mexico_and_Gulf_Coast.html
20,21,San Cristóbal de las Casas,https://www.tripadvisor.com.mx/Restaurants-g150802-San_Cristobal_de_las_Casas_Southern_Mexico.html
21,22,Cozumel,https://www.tripadvisor.com.mx/Restaurants-g150809-Cozumel_Yucatan_Peninsula.html
22,23,Aguascalientes,https://www.tripadvisor.com.mx/Restaurants-g153976-Aguascalientes_Central_Mexico_and_Gulf_Coast.html
23,24,San José Del Cabo,https://www.tripadvisor.com.mx/Restaurants-g152516-San_Jose_del_Cabo_Los_Cabos_Baja_California.html
24,25,Acapulco,https://www.tripadvisor.com.mx/Restaurants-g150787-Acapulco_Pacific_Coast.html
25,26,Cuernavaca,https://www.tripadvisor.com.mx/Restaurants-g150797-Cuernavaca_Central_Mexico_and_Gulf_Coast.html
26,27,La Paz,https://www.tripadvisor.com.mx/Restaurants-g150771-La_Paz_Baja_California.html
27,28,Zihuatanejo de Azueta,https://www.tripadvisor.com.mx/Restaurants-g15131654-Zihuatanejo_de_Azueta_Pacific_Coast.html
28,29,Chihuahua,https://www.tripadvisor.com.mx/Restaurants-g1028202-Chihuahua_Northern_Mexico.html
29,30,Hermosillo,https://www.tripadvisor.com.mx/Restaurants-g153979-Hermosillo_Northern_Mexico.html
30,31,Guanajuato,https://www.tripadvisor.com.mx/Restaurants-g150799-Guanajuato_Central_Mexico_and_Gulf_Coast.html
31,32,Tuxtla Gutiérrez,https://www.tripadvisor.com.mx/Restaurants-g317142-Tuxtla_Gutierrez_Southern_Mexico.html
32,33,Mexicali,https://www.tripadvisor.com.mx/Restaurants-g154247-Mexicali_Baja_California.html
33,34,Villahermosa,https://www.tripadvisor.com.mx/Restaurants-g249850-Villahermosa_Central_Mexico_and_Gulf_Coast.html
34,35,Ciudad Juárez,https://www.tripadvisor.com.mx/Restaurants-g150780-Ciudad_Juarez_Northern_Mexico.html
35,36,Culiacán,https://www.tripadvisor.com.mx/Restaurants-g150781-Culiacan_Pacific_Coast.html
36,37,Xalapa,https://www.tripadvisor.com.mx/Restaurants-g154235-Xalapa_Central_Mexico_and_Gulf_Coast.html
37,38,Saltillo,https://www.tripadvisor.com.mx/Restaurants-g150785-Saltillo_Northern_Mexico.html
38,39,Puerto Escondido,https://www.tripadvisor.com.mx/Restaurants-g153373-Puerto_Escondido_Southern_Mexico.html
39,40,Veracruz,https://www.tripadvisor.com.mx/Restaurants-g150804-Veracruz_Central_Mexico_and_Gulf_Coast.html
40,41,Toluca,https://www.tripadvisor.com.mx/Restaurants-g644384-Toluca_Central_Mexico_and_Gulf_Coast.html
41,42,Metepec,https://www.tripadvisor.com.mx/Restaurants-g1065261-Metepec_Central_Mexico_and_Gulf_Coast.html
42,43,Isla Mujeres,https://www.tripadvisor.com.mx/Restaurants-g150810-Isla_Mujeres_Yucatan_Peninsula.html
43,44,Huatulco,https://www.tripadvisor.com.mx/Restaurants-g150789-Huatulco_Southern_Mexico.html
44,45,Naucalpan de Juárez,https://www.tripadvisor.com.mx/Restaurants-g499418-Naucalpan_Central_Mexico_and_Gulf_Coast.html
45,46,Torreón,https://www.tripadvisor.com.mx/Restaurants-g499442-Torreon_Northern_Mexico.html
46,47,Manzanillo,https://www.tripadvisor.com.mx/Restaurants-g150791-Manzanillo_Pacific_Coast.html
47,48,Pachuca,https://www.tripadvisor.com.mx/Restaurants-g317137-Pachuca_Central_Mexico_and_Gulf_Coast.html
48,49,Colima,https://www.tripadvisor.com.mx/Restaurants-g153983-Colima_Pacific_Coast.html
